loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
15000,15000,15000, 60 months,12.99%,341.22,C,C2,Museum ,5 years,MORTGAGE,53500,Verified,16-Mar,Late (31-120 days),n,,,debt_consolidation,,760xx,TX,11.48,0,Jul-98,1,38,42,9,1,10050,73%,23,w,11683.66,11683.66,5779.09,5779.09,3316.34,2462.75,0,0,0,17-Sep,341.22,18-Jan,17-Dec,0,79,1,Individual,,,,0,0,95708,0,2,0,0,45,6907,80,1,2,9949,73,13800,0,0,3,2,11963,4183,80,0,0,212,168,8,8,1,8,39,2,39,0,3,5,4,9,7,5,15,2,8,,0,0,1,65,33.3,1,0,122832,16957,12550,8607
9600,9600,9550, 36 months,23.13%,372.27,F,F1,Customer Support Analyst,< 1 year,RENT,30000,Source Verified,16-Mar,Current,n,,,credit_card,Credit card refinancing,300xx,GA,38.12,0,06-Jul,0,68,,19,0,10435,91.50%,22,f,5074.4,5047.97,7428.51,7389.82,4525.6,2902.91,0,0,0,17-Dec,372.27,18-Jan,17-Dec,0,78,1,Individual,,,,0,98,74570,0,12,3,5,10,64135,96,0,0,4546,96,11400,0,0,0,5,3925,688,93.1,0,0,87,116,28,10,0,28,68,,68,0,4,5,5,8,12,7,10,5,19,0,0,0,3,90.9,60,0,0,77963,74570,10000,66563
6400,6400,6400, 36 months,16.29%,225.93,D,D1,Server,< 1 year,RENT,20000,Source Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,326xx,FL,11.28,0,13-Jan,0,,,6,0,5022,40.20%,8,w,856.22,856.22,6807.02,6807.02,5543.78,1263.24,0,0,0,17-Dec,725.93,18-Jan,17-Dec,0,,1,Individual,,,,0,0,5022,0,0,0,0,,0,,2,4,2279,40,12500,0,0,1,4,837,7478,40.2,0,0,,38,9,9,0,9,,9,,0,5,5,6,8,0,6,8,5,6,0,0,0,2,100,33.3,0,0,12500,5022,12500,0
30000,30000,30000, 60 months,9.75%,633.73,B,B3,Teacher,10+ years,MORTGAGE,120000,Source Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,110xx,NY,16.95,0,Jan-88,1,70,,36,0,30323,31.70%,58,w,21567.98,21567.98,12666.47,12666.47,8432.02,4234.45,0,0,0,17-Dec,633.73,18-Jan,17-Dec,0,,1,Individual,,,,0,0,384038,2,3,0,1,21,15362,61,2,8,10580,38,95800,1,0,2,9,10973,36068,40.2,0,0,163,333,3,3,2,3,,0,,0,10,21,16,23,5,32,49,21,36,0,0,0,2,98.3,18.7,0,0,476274,45685,60300,25324
9000,9000,9000, 36 months,5.32%,271.04,A,A1,gift planning consultant,10+ years,MORTGAGE,90000,Not Verified,16-Mar,Fully Paid,n,,,home_improvement,Home improvement,581xx,ND,17.97,0,Dec-89,1,,,20,0,19386,23.90%,42,w,0,0,9361.741129,9361.74,9000,361.74,0,0,0,17-Feb,6927.7,,17-Feb,0,,1,Individual,,,,0,0,151359,3,2,1,1,4,41686,77,4,5,13152,45,81100,0,0,2,6,7966,48684,28.3,0,0,180,315,3,3,3,3,,3,,0,3,5,10,16,12,16,27,5,20,0,0,0,5,100,10,0,0,288144,61072,67900,54244
16000,16000,16000, 36 months,5.32%,481.84,A,A1,Security specialist ,8 years,RENT,105000,Not Verified,16-Mar,Fully Paid,n,,,debt_consolidation,Debt consolidation,206xx,MD,15.02,1,Nov-00,0,9,,9,0,6219,27.90%,21,w,0,0,16098.34,16098.34,16000,98.34,0,0,0,16-May,16107.8,,16-Nov,0,,1,Individual,,,,0,0,23525,0,3,2,2,8,17306,69,0,1,3770,50,22300,1,3,1,3,3361,13632,29.7,0,0,124,184,22,8,0,52,,8,9,0,2,3,2,5,7,6,14,3,9,0,0,0,2,95.2,0,0,0,47543,23525,19400,25243
10000,10000,10000, 60 months,14.46%,235.08,C,C4,Nursing assistant ,6 years,RENT,32000,Source Verified,16-Mar,Charged Off,n,,,credit_card,Credit card refinancing,327xx,FL,14.52,0,09-Jun,1,,,9,0,8988,43.40%,14,w,0,0,2349.73,2349.73,1207.2,1127.53,15,0,0,17-Feb,250.08,,17-Dec,0,,1,Individual,,,,0,0,20505,1,4,0,0,49,11517,102,1,1,7169,64,20700,0,0,1,1,2278,814,90.4,0,0,78,81,3,3,0,38,,3,,0,2,4,3,5,6,5,8,4,9,0,0,0,1,100,33.3,0,0,31950,20505,8500,11250
28700,28700,28700, 36 months,7.39%,891.3,A,A4,VP Sales,1 year,OWN,205000,Source Verified,16-Mar,Fully Paid,n,,,credit_card,Credit card refinancing,761xx,TX,10.31,0,Jul-76,1,27,,7,0,33054,42.40%,22,w,0,0,29531.19,29531.19,28700,831.19,0,0,0,16-Sep,18489.56,,17-Oct,0,,1,Individual,,,,0,0,321016,1,1,0,1,15,37373,,0,1,20069,36,78600,3,0,11,3,53503,45546,42.4,0,0,125,226,14,5,1,14,27,0,27,0,3,3,3,10,7,3,12,3,7,0,0,0,1,84.2,0,0,0,382473,70749,78600,46027
6000,6000,6000, 36 months,15.31%,208.91,C,C5,stock,< 1 year,RENT,33000,Source Verified,16-Mar,Current,n,,,debt_consolidation,Debt consolidation,913xx,CA,21.2,0,Nov-97,0,46,,4,0,5130,75.40%,8,w,3006,3006,4167.99,4167.99,2994,1173.99,0,0,0,17-Dec,208.91,18-Jan,17-Dec,0,,1,Individual,,,,0,0,17833,0,1,1,1,10,12703,74,0,3,3082,75,6800,1,0,2,4,4458,296,92.2,0,0,115,220,16,10,0,17,,8,,0,2,3,2,2,2,3,5,3,4,0,0,0,1,75,100,0,0,23887,17833,3800,17087
7200,7200,7200, 36 months,6.97%,222.22,A,A3,Sr. Business Manager,10+ years,RENT,96878,Source Verified,16-Mar,Fully Paid,n,,,moving,Moving and relocation,750xx,TX,22.11,0,Jan-96,1,,,14,0,2711,3.20%,40,w,0,0,7596.54233,7596.54,7200,396.54,0,0,0,17-Feb,5392.16,,17-Jul,0,,1,Individual,,,,0,0,133251,5,3,3,3,2,130540,101,4,7,2711,26,84800,0,1,4,10,9518,71789,3.6,0,0,242,131,2,2,0,3,,2,,0,1,1,8,12,25,11,15,1,14,0,0,0,7,100,0,0,0,217696,133251,74500,132896
